And this?	و هذه؟
No, not me. Thomas Jefferson.	لا ، لست أنا ، أنه (توماس جيفيرسن)
Dr. Santiago, how long have you been treating the Dante sisters?	الدّكتور سانتياغو، مُنْذُ مَتَى هَلْ أنت ما زِلتَ تُعالجُ أخواتَ دانتي؟
- Is there a problem?	هل هناك مشكلة؟
The one that looks like a transvestite or the one that looks like a dominatrix?	التي تبدو كالمتبرجة؟ او التي تبدو كالمصيطرة؟
The Board had measured that function against international internal auditing standards.	وقد اضطلع المجلس بتقييم هذه الوظيفة على أساس المعايير الدولية لمراجعة الحسابات.
- Organization of specific industrial training programmes for a number of high-level technical personnel in relevant industrial fields to be determined by the Iraqi authorities that will benefit as a result.	- تنظيم برامج تدريب صناعي نوعي لعدد من الكوادر الفنية في مجالات صناعية معنية تحددها الجهات العراقية المستفيدة.
Did I become this person?	هل أصبحتُ هذا الشخص؟
I won't be taking my dinner here tonight. I got a date.	لن أتناول العشاء اليلة هنا ، لدي موعد غرامي.
Max. - Sunny.	. ( ماكس ) - . ( سانى ) , ( سانى ) -
Let's get outta here! - Nobody close into my hole!	لا احد يدخل او يسد حفرتى لا احد
Females represent more than 70% of the total educational body.	وتشكّل الإناث أكثر من 70 % من مجمل الهيئة التعليمية.
Well...	قليلاً..
Hester Ulrich, history major.	هيستر يلوريتش ، مُتخصصة فى دراسة التاريخ
The Netherlands provided copies of its laws and regulations that gave effect to article 6.	ووفَّرت هولندا نسخا من قوانينها ولوائحها التي تنفّذ المادة 6.
Now, you look here, Fang!	الآن , انظر هنا يا فانج
I wasn't, uh, I wasn't ready.	لا... لم أكن جاهزاً!
Trucker saw one of the fliers, called in, said he dropped him off in Wyoming sometime yesterday.	اتصل ،قال بأنه انزله في وايمونج يوم امس
No, you didn't, where are they?	كلا، لم تفعل، أين العلب؟
And boy will my wife be sore.	وصبي سوف زوجتي يكون التهاب.
The buyer contacted the seller several times to declare contract avoidance, and requested return of the goods and refund of the purchase price by the seller.	واتصل المشتري بالبائع عدة مرات ليعلن فسخ العقد، وطلب أن يستعيد البائع البضائع ويرد لـه ثمن الشراء.
You're leaving?	ـ أأنتِ راحلة؟
- Hello?	- مرحباً؟
Oh, the clime of Sicilia has most certainly restored health.	(اوه ، إن جو (صقليه أعاد لك صِحتك بالتأكيد
I know guys that work on ships like this.	اعرف شباب يعملوا في سفينه مثل هذه
Promise?	وعد؟
Roger National 684, we'll be out of 15 for five,	"قائدة الطائرة: ناشونال 684 عُلم، سنكون خارج 15 لمدة خمس دقائق"
General Assembly Official Records	الجمعية العامة الوثائق الرسمية
Whittier is a city in Los Angeles County, California, about southeast of Los Angeles.	ويتير هي إحدى مدن مقاطعة لوس أنجليس، كاليفورنيا.
I won.	لقد فزت...
For real.	-حقيقةً .
We gotta go bail her out.	علينا أن نذهب لدفع كفالتها
So... what are we doing?	لذلك ... ماذا نحن فاعلون ؟
What about Harry?	-ماذا عن (هاري) ؟
Even though the number of cases of forest yellow fever recorded each year in Brazil is below that of most of the countries sharing the Amazon Basin (for instance, Peru recorded 165 cases in 1998), it is still very much a focus of attention, with new vaccination strategies designed to protect the sectors of the Brazilian population living in endemic areas (Legal Amazonia and the centre-west region).	600- ومع أن عدد حالات الحمى الصفراء الحراجية المسجلة كل سنة في البرازيل أدنى من عدد الحالات المسجلة في معظم البلدان التي تطل على حوض الأمازون (فقد سجلت مثلاً 165 حالة في عام 1998 في بيرو)، إلا أن عدد حالات الحمى الصفراء الحراجية ما زال يحظى بعناية كبيرة جداً حيث تصمم استراتيجيات تحصين جديدة لحماية فئات السكان البرازيليين التي تعيش في المناطق التي يتوطن فيها الداء (ولاية أمازونيا ليغال ومنطقة الوسط الغربي).
Everything was going off the rails.	وكل شئ خرج عن مساره.
You wish me to find your Olivia now?	تريدني أن أعثر على أوليفيا خاصتك الآن؟
Well, that's why I've come to you. I found these fragments at ground zero,	وجدت هذه على الطبقة السطحيّة
I want to win!	أُريدُ الرِبْح!
So he painted a beautiful romantic relationship.	فرَسَمَ علاقة عاطفية جميلة
[Original: English] [9 July 2001]	[الأصل: بالإنكليزية] [15 أيار/مايو 2001]
The voting was as follows:	وكانت نتيجة التصويت كما يلي:
Except for the bill.	ما عدا عن الفاتورة.
At the 229th meeting, the observer of the Bolivarian Republic of Venezuela commented that her Mission's high-level delegates had not been treated properly at United States airports.	26 - وفي الجلسة 229، قالت المراقبة عن جمهورية فنزويلا البوليفارية إن مندوبين رفيعي المستوى تابعين لبعثتها لم يعاملا على نحو ملائم في مطارات الولايات المتحدة الأمريكية.
I'm dress rehearsal	مجرد تدريب تاخذه
Well, you know, first you invite him over for Thanksgiving.	حسناً, اتعرف, في البداية دعوته لاحتفال عيد الشكر.
But...	لكن.
- Easier to show you.	من الأسهل أن أريك
But Conner left behind a mess, and we need to clean it up.	لكن كونر ترك خلفه فوضى ولابد من ازالتها
You're a popular guy, Dodi.	(أنت رجل مشهور يا (دودي
Moon gate and three others.	-بوابة القمر و ثلاث اخريات هنا ,و هنا,و هنا
His delegation would therefore vote for the amendments to the draft resolution and urged others to do the same.	ولذلك فإن وفده سيصوت لصالح تعديلات مشروع القرار وحث الآخرين على أن يفعلوا كذلك.
He makes me forget about my invalid husband, my loneliness, the dreadful misplacement of my bosoms.	إنه يجعلني أنسى. زوجي العاجز، وحدتي. معاناتي مع مشكلة أثدائي.
Pub.	No.
Nothing to do with you. - We had no idea.	أخذنا الجثث إلى أوّل مكان فكّرنا به لا علاقة له بكِ، أقسم لكِ
- Why?	لماذا ؟
What's O'Malley doing tomorrow?	مـاذا سيفعـل أومـالـي غـداً !
Global Volunteers	الحركة الدولية لإغاثة الملهوف - العالم الرابع
Would you have changed your mind?	ولاتزال
And if you feel weird, I'll do whatever you need.	واذا كنتى تشعرين بالغربة, سأفعل أى شىء تحتاجينه حتى لا تشعرى بذلك.
I'm happy to see someone return to the island with a wife, to start a family.	أنا سعيد لرؤية شخص يعود إلى الجزيرة مع زوجته، لتأسيس عائلة
- I'm not a doctor.	- أنا لست طبيبا
This is just too weird.	إنها هذا فقط غريب للغاية
You can't miss it.	لن تخطأه
He'll do fine.	سيبلي حسناً
I'm your father.	هذا أنا، أبوك
I won't fire him until the first.	لن أطرده حتى نهاية الشهر
Invites States to give widespread publicity to the Durban Declaration and Programme of Action;	2- تدعو الدول إلى أن تعمم إعلان وبرنامج عمل ديربان على أوسع نطاق ممكن؛
It's humiliating enough having to work here.	العمل هنا مذلّ بما فيه الكفاية. -مُذل؟
You lose.	انت تخسر.
How about you tell us what this whole Men-of-Letters business is, or you're on your own?	"ماذا عن إخبارنا بقصة "رجال المعرفة تلك وإلا ستكون بمفردك؟
It just looks so, like, out of a horror movie.	هذا يبدو،فقط فيلم رعب
Just over that hill lies our summer	{\fad(300,300)}.. على تلك التلة {\fad(300,300)}يكمن صيفنا
The revision of this and other legislation affecting women will provide a firm legal foundation for the implementation of the Policy and any other reform measures.	وستوفر مراجعة هذا التشريع وغيره من التشريعات التي تمس المرأة أساسا قانونيا ثابتا لتنفيذ السياسة الوطنية وأية تدابير أخرى إصلاحية.
Petrificus Totalus.	بيتريفيوس توتالوس
! We're clutching the dagger!	نحن نمسك الخنجر
You've been good to me, my lord.	-عاملتني جيداً يا مولاي
- We gotta call 911 now!	-يجب أن نتصل بالإسعاف الأن
DARRIN:	دارين:
I'll talk to your father and... Sure, you will speak to all	متأكّد، أنت سَتَتكلّمُ مع كُلّ
Well, what did he do? Last I heard, he was playing Diana Ross in La Cage aux Folles.	آخر ما سمعت أنه لعب دور " ديانا روز " في فيلم " لاكاز فول "
- I want to talk to him.	-أريد التكلم معه
He was surprised to meet Estelle. As was I.	واستغرب للقاء (ايستيل) وانا أيضاً
Who found it?	مَنْ وَجدَه؟
You have any idea what dirty business the U.S. Government has perpetrated on its citizens over the last 200 years?	أنتِ ليس لديكِ فكرة عن الأعمال القذرة إن الحكومة الأمريكية ترتكب ذنباً ضد المواطنين منذ الـ 200 عاماً الأخيرة
For an overview of UNCTAD's work in the area of standards and trade, see	TD/B/COM.1/61 5 December 2003
Who steals a fish tank?	من سيسرق حوض سمك ؟
Well, fix it before someone gets hurt.	أصلح هذا ، قبل أن يصاب أحدهم
Such technologies did, however, raise the highly complex problems of network security, privacy protection and cybercrime.	إلا أن أمثال هذه التكنولوجيات تثير مشاكل معينة شديدة التعقيد فيما يتعلق بأمن الشبكات، وحماية الخصوصيات، والجريمة الإلكترونية.
Six leaguers...	.. وهناك 6 أعضاء من الفرقة
They tried to play you, remember?	لقد حاولو التلاعب بك أتذكر؟
Uh... no, not yet Ma'am.	لا, ليس بعد يا سيدتى
No disrespect, but aren't those the same moves you guys brought to France?	لا أقصد قلة أحترام لكن أليست هذه نفس الحركات التي ذهبتم بها إلى " فرنسا " ؟
Let me guess, faces of the elderly?	دعيني أخمن وجوه العجائز ؟
The boss is waiting, I said, you heard, so get off your ass.	قلت إنّ الرئيس ينتظرك، لقدسمعتني،لذاتحرّكي...
Strange.	هذا غريب
Goodbye.	وداعا
Tell me where she is.	أخبرني أين هي
We are gonna become famous treasure hunters.	سنصبح مسكتشفين كنوز مشهورين.
And you're saying that it is possible.	و أنت تقول أن هذا ممكناً
There are familial overlaps of cadence and voice that will be very helpful.	هنالك تداخل عائلي في الصوت والإيقاع، سيكون ذلك مفيدٌ جدًا.
How you doing?	كيف حالك؟
Look at me!	انظر لي
You did. I counted. That was 25.	لقد حصلت عليه , انا حسبته كان هذا هو 25 , هذا ما اتفقنا عليه
'Cause, ah, 'cause you got them.	لأنك... لأنك حَصلتَ على ما تريد.
I can't be gone long. I heard.	لا أستطيع الصمود لأمد طويل.
The interactive dialogues with special procedures mandate-holders introduced at the fifty-ninth session are generally considered to be a significant improvement in the work of the Commission.	7- الحوارات التفاعلية مع المكلفين بولايات الإجراءات الخاصة التي أُدخلت خلال الدورة التاسعة والخمسين، تمثل تحسناً كبيراً في عمل اللجنة.
He's okay.	إنه بخير.
~ HE PANTS	~ السراويل سعادة
You always talk so much	انت دائما تتحدث كثيراً
Possibly, but... ..I owe him my life.	هل جننت ؟ - ربما , ولكن - أنا مدين له بحياتي
- Really?	-حقاً
[Shaking and yelling]	[إهتزاز والصراخ]
Haddington	[هدينغتون] great- britain_ counties. kgm
Though not of course conjugal, but rather more like that of a mother and son.	لكن بالطبع ليس على نحو زوجي لكن على نحو أم و إبنها
Oh, Tilly, hi!	أووه, (تيلي), مرحبا!
Nathan!	! (ناثان)
Just some innocent fried clams at the West Wharf !	فقط بعض الكتومين الأبرياء فى رصيف المرفأ الغربى
What was it like?	كيف كانت؟
What are "Little Brains"?	ما هي "العقول الصغيرة"؟
Statistical Commission	اللجنة الإحصائية
That way? The bank?	لا اعلم ، من هناك - من جانب البنك -
Well, I also have a big stack of book reports	حسناً, لدي أيضاً كوم كبير من تقارير الكتب
I've spent years training my boys to swim the other way.	لقد قضيت أعوامًا أدرب حيمناتي على اتخاذ مجرى أخر خلاف الرحم!
Uh, where are you from? Baltimore.	بالتيمور
Please. There's nothing there.	ارجوك لا يوجد شيء بيننا
- Written on.	- كتابة
I think so.	اظن ذلك
There's a big soirée in DC.	هناك حفلة فى العاصمة واشنطن (ماركريدج) ستكون هناك
You did all that stuff. You deserve to go.	قمتِ بكل هذه الأشياء تستحقين الذهاب
What do you mean, no record?	ماذا تعني، ليس هناك سجل؟
- I want to speak to him immediately.	-أريد الحديث معه في الحال
Yes, but if you like lizards, that's awesome... have fun.	اجل ، ولكن اذا كنت تحب السحالي فهذا رهيب وقتا ممتعا
Secondly, the case in question has nothing to do with the technical aspects of the accreditation process nor with the report of the Credentials Committee.	ثانيا، إن الحالة قيد النظر لا علاقة لها بالجوانب التقنية لعملية اعتماد الممثلين أو بتقرير لجنة وثائق التفويض.
I don't believe it.	أنا لا أصدق هذا
Go, go! Go, go!	-أجل، اذهبوا، اذهبوا
- Okay, it's 10:37.	حسناً ألساعة 10:
-Done.	-فعله.
And I especially don't want him smoking around them.	ولا أريده أن يدخن قربهما
You just got to be open to it.	لذا كوني متفتحــة للواقــع
Couple of corn-fed, football loving Methodists.	زوجين من فدان الذرة
What do we do now?	ماذا نفعل الآن
I mean, you bring me to an Irish famine memorial and we're eating corned beef sandwiches.	فقد أحضرتيني لحضور حفل ذكرى تأبين مجاعة أيرلندية... و جعلتينا نأكل شطائر لحم بقر مملح... ، و هذا مزرٍ للغاية.
The guy jumps out screaming,	والرجل قفز خارجاً يصرخ
I look awful today.	أبدو بحالٍ مريعة هذا اليوم
- That's his name... - Michael!	هذا هو اسمه مايكل
Get out of the way.	ابتعدوا ابتعدوا افسحوا له المجال.
Money:	العملة:
But we have no time.	ولكن ليس لدينا وقت
We were a great team.	نحن نكون فريق رائع
Despite the growing promise of a multi-polar world withAsian powers playing a greater role in addressing global challengesand sharing leadership with a weary US, that world does not yetexist.	ورغم الوعود المتنامية المتمثلة في عالم متعدد الأقطاب حيثتلعب القوى الآسيوية دوراً أعظم في معالجة التحديات العالمية وتتقاسمالزعامة مع الولايات المتحدة المنهكة، فإن هذا العالم لا وجود لهبعد.
I never took you for a spa person, Denny.	لم أخذك من قبل لمنتجع صحي (يا (ديني
That's a great product, huh?	هذا منتج رائع صحيح؟
Just take one, they're fun.	خذي واحدة، إنهم مُسليين
So, uh, anyhow, uh, can I bunk here?	لذا , uh، على أية حال , uh, هَلّ بالإمكان أَنْ أنا سرير هنا؟
The Secretariat was requested to prepare a draft of revised UNCITRAL Arbitration Rules, based on the deliberations and conclusions of the Working Group.	وطُلب إلى الأمانة أن تعدّ مشروع صيغة منقّحة لقواعد الأونسيترال للتحكيم بناء على مداولات الفريق العامل واستنتاجاته.
Fostering.	بل رعاية
Previously on "Justified"...	سابقاَ في " المبرر "
No, actually, Mr. Conroy, I've been in six or eight of them.	لا، في الواقع ياسيد (كونروي)، لقد كنت في ستة أو ثمانية منهم.
Oh, let's do it.	لنفعل هذا
Mysti, can I talk to Jeff for a moment?	(هل يمكنني أن أتحدث مع (جيف على إنفراد ؟
Recommendations	التوصيات
And I hid one of her tent poles.	ولقد قمتُ بإخفاء إحدى أعمدة خيمتها
Honey, there's not much in there.	عزيزي، لايوجد الكثير هنا
Randy Wagstaff, you aren't a sixth-grader, are you?	(راندي واغستاف) لستَ في الصف السادس أليس كذلك ؟
Oh, God!	أوه,يا الهي
I refer to the letter I addressed to you on 1 October 2004 (S/2004/786), constituting the semi-annual report requested by the Security Council in resolution 1051 (1996).	الرجاء الرجوع إلى الرسالة التي وجهتها إليكم في 1 تشرين الأول/أكتوبر 2004 (S/2004/786)، والتي تشكل التقرير نصف السنوي الذي طلبه مجلس الأمن في القرار 1051 (1996).
- It's time to say goodbye.	-لقد حان وقت الوداع
were involved or mentioned. The 35 completed cases had resulted in the dismissal of 5 officers, the fining of 20 others, reprimands to 5, dismissal of cases against 24 officers and the clearing of 5 others.	وقد أسفرت الحالات المكتملة، وعددها 35 حالة، عن فصل 5 رجال شرطة وتغريم 20 آخرين، وتوجيه اللوم إلى 5 رجال شرطة، ورفض الدعاوى المقامة ضد 24 شرطياً وتبرئة 5 آخرين.
All right. Then send it to the papers.	حسناً، وأرسليها إلى الصحف
Look, my friends had nothing to do with that.	انظر, ليس لأصدقائي علاقة بهذا
I suppose, to a man like you, this little farm is just dirt.	هذه المزرعة الصغيرة تبدو فى نظرالكثيرين مجرد قذارة
That felt really good.	- هذا كان شعوراً جيد حقاً
- What's up?	-ما الأمر؟
Iraqc d	جمهورية مقدونيا اليوغوسلافية السابقة(ب)(د)
- Whoa, whoa, whoa, whoa.	مهلاً ,مهلاً ,مهلاً.
You good?	أأنت بخير؟
- It's a threat to the President. - I understand. POTUS 111.	-أنة تهديد على الرئيس لقد فهمت، "بوتيس 111"
Can you double check? I did, ma'am.	-هل لك أن تتفقدها مرة أخرى؟
How to live in the wild.	كيف تعيش فى البرية.
Swoop, there it ain't.	الهجوم لم يفلح
That, along with our family fortunes, is why we rule the world. Right, Jimmy?	هذا بالإضافة إلى ثروة عائلتنا هو مايجعلنا نحكم العالم، صح جيمي ؟
In my report of 3 June 2004 (S/2004/453), I began to chart the scale of work to be carried out by the United Nations and the international community if we are to successfully assist the parties in the years ahead.	وفي تقريري المؤرخ 3 حزيران/يونيه 2004 (S/2004/453) بدأت في إيضاح حجم العمل الذي يتعين على الأمم المتحدة والمجتمع الدولي القيام به إذا أردنا مساعدة الطرفين بنجاح في السنوات المقبلة.
She's beautiful.	هي جميلة
We have no choice. Continue as planned.	ليس لدينا خيار آخر.
But before we get underway, we need you to ease up on the yakety-yak.	عليكِ أن تكفي عن الثرثرة
Did you scare me!	لقد اخفتني!
You're gonna have to face it sooner or later.	سيكون عليكِ .أن تواجهي ذلك عاجلا أم آجلا
To prove that I wouldn't betray the conspiracy,	لإثبات أنني لن أخون المؤامرة
Now we have a talk hole.	الآن لدينا حفرة للتكلم من خلالها.
All systems were successfully tested on the weekend of 31 December 1999 to ensure that they were operational;	وقد اختبرت بنجاح جميع النظم في عطلة نهاية أسبوع 31 كانون الأول/ديسمبر 1999 للتأكد من أنها جاهزة للتشغيل؛
Provost Tanner stopped him.	العميد (تانر) أوقفه
All right, get out. Move.	حسناً أخرج, تحرك
- Missus.	-سيدة
disappear?	أختفي؟
But he's not going to achieve anything by it.	- لكنّه لن ينجز أيّ شيء بذلك
Where's my baby?	أين طفلي ؟
Kong is good too.	كونج) جيد أيضاً)
Indeed , it will come upon them suddenly and confound them ; and they will not be able to ward it off , nor shall they be reprieved .	« بل تأتيهم » القيامة « بغتة فتبهتهم » تحيرهم « فلا يستطيعون ردها ولا هم ينظرون » يمهلون لتوبة أو معذرة .
I might be able to hack into the camera's broadcast frequency.	قد أكون قادرة على إختراق تردّد بث الكاميرا
- And that's pretty much it.	-وهذا كل شيء
- I know. It's confusing, right?	- أعلم, الأمر محير أليس كذلك؟
42nd plenary meeting 25 July 2001	الجلسة العامة 42 25 تموز/يوليه 2001
Put him down.	ضعوه على الأرض
I think you'll see she always writes in favor of order and self-control.	أعتقد أنك سترى أنها دائماً تكتب عن النظام وضبط النفس
-Boat sank?	-غرق مركبه ؟
I think this is it, right here.	أعتقد هذا هو، هنا
Take Hannah.	خـذي (هـانـا)
Why don't you sit with me here?	-لماذا لا تجلس معي هُنا؟
These militias are thought to operate primarily under a tribal management structure.	ويعتقد أن هذه المليشيات تعمل أساسا تحت عباءة التنظيم القبلي().
How's your Martini?	كيف هو مارتيني الخاص بك ؟
Nice to meet ya. This, this must be Casey.	لطيف مقابلتكِ (هذه بالتأكيد لابد أن تكون (كايسي
It's a lead I can follow.	أنه دليل يمكنني تتبعه
There's plenty of money out there.	هناك كميات من النقود بالخارج هناك
I do.	أعلم
You too.	You too.
She's following us about deliberately.	انها تتبعنا عن بعد ,عمدا
Sylvia... is not my real name.	دعْني أَحْزرُ. هنا أيضا تلميح.
What, now?	عفوا؟
♪ is it two, three, leave a good tip ♪	♪ is it two, three, leave a good tip ♪
Is already stirred up.	يبدو أن الأرتياب
Geneva, 27 June 2001	جنيف، 27 حزيران/يونيه 2001
Annex II	المرفق الثاني
We got the shot! - Fab!	أنهينا التصوير - ممتاز -
Yes, it's good to see you, too.	أجل وسعدت برؤيتك أيضاً
Aah!	أها
I do not want.	لا أريد
Cheating.	بالغش
Mass 'Indignant' protest in Athens.	تظاهرة ساخطة ضخمة في أثينا.
Oh, she's, uh...	إنها...
Moreover, it ranks in the category of basic needs and is intrinsic to the established system of legislation. It is therefore a right of such key importance that it cannot be abolished or eradicated, a fact which is clearly apparent in educational theory, the education strategy and the general policy on education.	وتبلغ نسبة الصرف على التعليم الأساسي 44 في المائة من جملة الإنفاق على التعليم العام وهذه النسبة لا تمثل الصرف الفعلي من الميزانية المصدقة.
Joyce smashed the pumpkin! Joyce smashed the pumpkin!	جويس حطم القرعة!
In 1999 the centralized water distribution system in a number of towns and districts in Georgia was subjected to chemical and bacteriological tests.	195- وفي عام 1999، خضع النظـام المركزي لتوزيع المياه في عدد من المدن والمناطق في جورجيا لاختبارات كيميائية وبكتريولوجية.
The doctor says you have a comminuted fracture.	الطبيب يَقُولُ بأنّك عِنْدَكَ a كسر مَسْحُوق.
I said I didn't need a chair.	لقد قلتُ لا أريد كرسياً
Where he or she's been.	اين ومن كانو
How soon can you examine the tissue and clean the bones?	كم ستستغرقين في فحص الأنسجة وتنظيف العظام؟
Oh, and where is this boyfriend today?	وأين هو هذا الحبيب؟
Human rights were not the province of any one civilization, but a shared good and a common quest.	وحقوق الإنسان ليست قاصرة على مدينة بعينها، ولكنها تمثل ملكية مشتركة ومطلبا عاما.
"infinite and unchangeable."	ابدي، راسخ
Regarding the Legal Subcommittee, the United States believed that the preliminary draft protocol to the Convention on International Interests in Mobile Equipment would facilitate the commercial financing that was key to the success of private space activities.	32 - وفيما يتعلق باللجنة الفرعية القانونية، فإن الولايات المتحدة تعتقد أن مشروع البروتوكول التمهيدي للاتفاقية المتعلقة بالمصالح الدولية في المعدات المنقولة يمكن أن تيسر التمويل التجاري الذي يشكل مفتاح نجاح أنشطة القطاع الخاص الفضائية.
Hello!	مرحباً!
Butyourfundsare low	ولكن أموالك قليلة
Do you love her?	هل تحبها؟
It holds the lighter fluid, right, Norwood?	تحمل أخف السوائل، صحيح، (نوروود)؟
God, you're beautiful. You know that?	جميلة للغاية , هل تعلمى ؟
It's almost too quiet to hear at all.	بالكاد أسمع دقاته.
* The registration data are reproduced in the form in which they were received.	* بيانات التسجيل مستنسخة بالشكل الذي وردت به.
But how are the two of you?	لكن انتما كيف حالكما
-I didn't know that.	- أنا لم اعرف ذلك
- An hour.	- خلال ساعة .
- How about this one?	- ماذا عن هذا
Sprinkle over it the dew of your grace.	أغسلها بالندى الخاص ببركتك
You've run a lot. Time to rest.	لقد هربتي وقتاً طويلاً، حان الوقت لكي ترتاحي
Listen to me.	ماذا، ماذا تقول؟
Uh, let me just get that for yöu. Uh, uh, that's, uh...	...كلا ، إنه دعيني أنظف هذا
In April 2007, the province announced the HOUSINGFirst! Initiative, which includes two components to address homelessness in the province:	• أعلنت المقاطعة في شهر نيسان/أبريل 2007 مبادرة الإسكان أوَّلاً!، التي تشمل عنصرين اثنين لمعالجة مسألة التشرُّد في المقاطعة:
Hey, Cali.	أهلاً, (كالي).
That means we have to take Bierko down ourselves.	هذا يعني أنه لابد أن نقضي على (بيركو) بأنفسنا
You ready to knock out the interview?	هل أنتم مستعدين لـ المقابله ؟
Right. Let me tell you...	انه انت
My house gone.	بيتي ذهب.
Fine, I think.	بخير , علي مااعتقد
I gotta find Arla.	. " علي البحث عن " ارلا
You go right.	هل يسير في الاتجاه الصحيح.
Afraid it's all new to me.	الخائف هو جميعاً جديد لي.
The majority of the population survives on informal economic activities, mainly carried out by women.	ويعيش غالبيتهم من الأنشطة الاقتصادية الهامشية، التي تضطلع بها أساسا المرأة.
Set We not therein soaring mountains ? Sated you with sweetest water ?	ألم نجعل هذه الأرض التي تعيشون عليها ، تضم على ظهرها أحياء لا يحصون ، وفي بطنها أمواتًا لا يحصرون ، وجعلنا فيها جبالا ثوابت عاليات ؛ لئلا تضطرب بكم ، وأسقيناكم ماءً عذبًا سائغًا ؟
Oh, it hasn't been easy, but Faye and I are getting along.	لم يكن الأمر سهلاً لكن انا و (فاي) سنتخطى الأمر
It gets put in places you may not wanna know about.	قد تكون وضعت فى أملكن لا تريدون معرفتها
Holmes. For heaven's sake, when did you get here?	هولمز " ، لأجل الرب " متى جئت إلى هنا ؟
Oh, I've heard delicious rumors.	أوه،لد سمعت إشاعات رائعة
The winner's 17.	وها قد بدأ الأمر.
Time to go, mister.	وقت الرحيل, يا سيدي
That is so untrue.	هذا خاطئٌ كُلياً.
Come on.	هيا ...
Just a minute.	دقيقة واحدة
acting as the preparatory committee for the	الدورة التحضيرية الثانية
"Ballade of a Fencing Bout...	"قصيدة عن مباراة بالمبارزة
Ooh, Elliot, tonight you went from schmuck to guy I wanna-- uch, too far.	هل تريدني أن اسأل (جوش) و (د.راوندز) اذا كانو يريدون أن يشتروا عرض شهر العسل منك؟
You got Delaney. He's a good engineer.	لديك (ديلاني)، وهو مهندس كفء
Moses!	( (موسس) !
Chris, Chris, Chris!	(كريس)، (كريس)، (كريس)!
- I think you're being odd.	- أعتقد بأنك أنت الغير مقبول البتة.
Here, take a drink of water".	ها، خذى شراب الماء "
Happy Halloween!	عيد قدّيسين سعيد!
He took a walk.	أخــذ نـُــزهه
Hey, come on, lady.	هيا يا سيده
(b) Urged those Member States and former Member States that had not yet paid their assessed contributions, including advances to the Working Capital Fund and prior years' arrears, to do so without delay;	(ب) حثّ الدول الأعضاء والدول الأعضاء السابقة التي لم تسدّد بعد اشتراكاتها المقرّرة، بما في ذلك السلف المقدّمة إلى صندوق رأس المال المتداول ومتأخّرات الأعوام السابقة، أن تفعل ذلك دون إبطاء؛
I am sorry.	أنا آسف
- Sire. - Your Majesty.	سيدي - جلالتك -
- And I...	-وكنت أنا...
Navy's cut off Sam's pay.	توقفت البحرية عن دفع مرتب سام
She opened up to us emotionally, she did well in school, she followed our rules, and we feel that she has come to trust us, as we have her.	فقد فتحت لنا قلبها وقد أبديت حسنا في المدرسة وقد ألتزمت بالقواعد وقد أحسسنا أنها تثق بنا بوجودها معنا
Oh God!	يا إلهي!
I don't know you.	لا أعرفك
So, we should, you know, grab a coffee on the way.	لذلك علينا، أن نشرب القهوة بطريقنا
I didn't think I was ever gonna see you again.	لم أظن أنني سأراك ثانيةً
Agent DiNozzo, what is it?	العميل (دينوزو)، ما الأمر ؟
She's got to be in perfect shape.	لابد لها أن تكون بهيئة مثالية.
Look here.	! انظر هنا
Same old Alan.	آلان القديم نفسه.
You'd never find me in an ice cream place alone on my birthday.	لن تجديني أبداً في محل الآيسكريم وحيداً في عيد ميلادي
He didn't goad me. it was... romantic.	لم يدفعنـي , لقد كان هذا ... رومانسيـاً
They're gonna take you to the hospital.	سيأخذونكِ للمستشفى.
Good, we wouldn't want you flying off the planet with nothing to hump but satellites.	جيد ، نحن لا نريدك أن تطير حول الكوكب... بدون سنام... إلا الأقمار الصناعية.
Raise the victory flag,	"انتصر و ارفع راية النصر"
I treat it like a breakup. Who have you broken up with?	-أعتبرها كإنفصال العلاقات العاطفية
We have laws.	-لبعض الشعائر
- But... - No "buts."	..و لكن - بدون و لكن -
-Yes, professor.	-حاضر، بروفسور .
Who sent you?	مَن أرسلكَ؟
Sir?	سيدي؟
He did all this damage in a month?	لقد تسبب فى كل هذه الخسائر فى شهر ؟
Yay, I did it!	! نعم , أنا فعلتها
Reynolds is here.	-رينولد) هنا) .
Not "ended."	يرتعب من الوحوش, و تسببت في إنهاء حياتك المهنية لم تنهها
I keep thinking about all the men... who work in those other offices along the Marktgasse.	أفكر باستمرار في كل أولائك الرجال ... في تلك المكاتب الأخرى
It is injected through these barbs.	الفيروس يحُقِنَ من خلال هذه الأطراف .
The Committee requests the Secretary-General to review the matter and to report thereon in the context of the proposed programme budget for the biennium 2004-2005, even if it means eventual downward reclassification.	وتطلب اللجنة إلى الأمين العام استعراض المسألة وتقديم تقرير بشأنها في سياق الميزانية البرنامجية المقترحة لفترة السنتين 2004-2005 حتى ولو كان هذا يعني إعادة تصنيف بالتنزيل في نهاية المطاف.
(b) Report of the Executive Board of the United Nations Children's Fund on the work of its first regular session of 2001 (E/2001/34 (Part I));1	(ب) تقرير المجلس التنفيذي لمنظمة الأمم المتحدة للطفولة عن أعمال دورته العادية الأولى لعام 2001 (E/2001/34 (Part 1))(1) ؛
But, you see, my dear,	ولكن، كما ترى، يا عزيزي،
So it's a question of character, isn't it, John?	إذن هذه مسألة شخصية، أليس كذلك، (جون)؟
I found a place where the earth was easiest and started to dig up a cave.	وَجدتُ مكانا بارض سهلية وبَدأَت بحَفْر كهف.
